,G,GA
1  Nashville,261,204
1  Winnipeg,273,216
3  Boston,267,211
3  Tampa Bay,290,234
5  Vegas,268,225
6  Toronto,270,230
7  Los Angeles,237,202
8  Pittsburgh,270,248
8  Anaheim,231,209
10  Minnesota,250,229
10  San Jose,247,226
12  Colorado,255,236
13  Washington,256,238
14  Philadelphia,249,236
15  Columbus,236,226
16  Dallas,231,222
17  New Jersey,243,240
18  Florida,245,243
19  St. Louis,223,222
20  Chicago,228,254
21  Calgary,216,243
22  Carolina,225,253
23  New York,261,293
24  Edmonton,229,262
25  New York,228,263
26  Vancouver,218,259
27  Detroit,212,254
28  Arizona,206,251
29  Montreal,207,258
30  Ottawa,219,284
